trial_index,tone_onset,tone_prob,restaurant,T_Entry,choice,accept,outcome,reward,quit,collection,trial_end,exit,lapIndex,blockIndex,comment
1,14.69082880000025,80,1,15.047129600003363,15.213324799999596,1,18.348172800004484,1,,,21.790412799999118,21.857740800000727,0,1,rewarded but pellet not taken
2,21.878003200002016,80,2,22.127052799999714,22.193446400001644,1,25.32197120000422,1,,,25.33009920000285,25.433523200005293,0,1,rewarded but pellet not taken
3,25.438169600002468,100,3,25.662080000005663,25.728716800004243,1,26.83840000000596,1,,28.072960000000894,28.072960000000894,35.57672960000485,0,1,"accepted, waited, rewarded, and collected"
4,35.75796480000019,0,4,36.12049920000136,36.18702080000192,1,,0,39.52394240000099,,39.52394240000099,39.60816640000046,0,1,animal accepted but quit before outcome revealed
5,39.61047040000558,100,1,39.87530240000039,39.97510400000215,1,41.0426623999998,1,,,52.22234880000353,52.323046400003136,1,1,rewarded but pellet not taken
6,52.32806400000304,80,2,52.59427840000391,52.693644799999895,1,55.80542720000446,1,,56.808767999999226,56.808767999999226,62.942067200005056,1,1,"accepted, waited, rewarded, and collected"
7,62.942758400000635,0,3,63.20942080000043,63.30792960000038,1,,0,64.04190720000118,,64.04190720000118,64.14176000000536,1,1,animal accepted but quit before outcome revealed
8,64.15513599999994,100,4,64.45383680000157,64.52140799999982,1,65.63069440000504,1,,66.78338560000061,66.78338560000061,71.69555200000107,1,1,"accepted, waited, rewarded, and collected"
9,71.84741120000183,0,1,72.27836160000413,72.41232640000433,1,,0,74.24874240000545,,74.24874240000545,74.38224639999866,2,1,animal accepted but quit before outcome revealed
10,74.38575360000134,80,2,74.68483839999884,74.7853056000024,1,77.89981440000236,1,,79.15656960000098,79.15656960000098,84.63484160000085,2,1,"accepted, waited, rewarded, and collected"
11,84.64140799999983,80,3,84.89939200000465,84.99694080000371,1,88.11454720000178,1,,89.31761919999867,89.31761919999867,95.77643520000576,2,1,"accepted, waited, rewarded, and collected"
12,95.82199040000141,0,4,96.12170239999891,96.18790399999916,1,,0,96.57441279999912,,96.57441279999912,96.57441279999912,2,1,animal accepted but quit but quit wasnot timestamped
13,96.57523200000078,100,1,96.83948800000549,96.93964800000191,1,98.01424639999867,1,,,115.16071680000424,115.16071680000424,3,1,rewarded but pellet not taken
14,115.2666752000004,0,2,115.53242880000174,115.59877120000124,1,,0,118.36706560000032,,118.36706560000032,118.60152320000529,3,1,animal accepted but quit before outcome revealed
15,118.60212480000406,100,3,118.80199680000544,118.90120960000158,1,120.01482240000367,1,,121.05199360000343,121.05199360000343,133.51820800000428,3,1,"accepted, waited, rewarded, and collected"
16,133.8316799999997,100,4,134.13175039999933,134.23178240000456,1,135.3666432000026,1,,136.34393600000442,136.34393600000442,140.6049408000037,3,1,"accepted, waited, rewarded, and collected"
17,140.69135360000283,20,1,140.98987520000338,141.09007360000163,1,,0,141.72384000000358,,141.72384000000358,142.57703680000455,4,1,animal accepted but quit before outcome revealed
24,187.0813056000024,0,2,187.4133504000008,187.51365120000392,1,,0,191.18451200000197,,191.18451200000197,191.18451200000197,0,3,animal accepted but quit before outcome revealed
25,191.2515712000057,80,3,191.55206400000304,191.61818879999964,1,194.72810240000487,1,,196.21244160000234,196.21244160000234,200.69580800000577,0,3,"accepted, waited, rewarded, and collected"
26,200.74097920000554,0,4,201.04057600000502,201.10686720000209,1,,0,201.6409728000015,,201.6409728000015,201.79340799999983,0,3,animal accepted but quit before outcome revealed
27,201.793945600003,80,1,202.02630400000513,202.1928576000035,1,205.3066752000004,1,,,209.2340223999992,209.4346623999998,1,3,rewarded but pellet not taken
28,209.47280640000105,80,2,209.80464640000463,209.939315200001,1,213.04183040000498,1,,214.44531199999898,214.44531199999898,220.4185856000036,1,3,"accepted, waited, rewarded, and collected"
29,220.419315200001,100,3,220.71746559999883,220.81776640000194,1,221.98682880000024,1,,223.03952639999986,223.03952639999986,232.7652480000034,1,3,"accepted, waited, rewarded, and collected"
30,232.8126975999996,80,4,233.14302720000595,233.17621760000287,1,,0,233.443315200001,,233.443315200001,233.86279680000246,1,3,animal accepted but quit before outcome revealed
31,233.86384640000014,0,1,234.1625984000042,234.26223360000552,1,,0,234.53015040000528,,234.53015040000528,242.7752832000032,2,3,animal accepted but quit before outcome revealed
32,242.9489536000043,100,2,243.2769152000025,243.37813760000466,1,244.47976960000395,1,,245.47964160000532,245.47964160000532,254.65844480000436,2,3,"accepted, waited, rewarded, and collected"
33,254.65886720000208,20,3,254.95673600000143,255.05738240000605,1,,0,258.29384960000215,,258.29384960000215,258.3944959999993,2,3,animal accepted but quit before outcome revealed
34,258.4394368000031,20,4,258.77214720000325,258.83952639999984,1,,0,259.2293376000002,,259.2293376000002,259.2293376000002,2,3,animal accepted but quit but quit wasnot timestamped
35,259.23078400000185,20,1,259.5275392000005,259.62855680000035,1,264.75109120000155,0,,,264.75109120000155,266.10215680000186,3,3,"accepted, waited, no-reward"
