,event_description,timestamp,event_code,restaurant,keyword
0,SHARP Accept R3,42.92300800000131,68,3,enter
0,SHARP Entry R4,43.05111039999873,70,4,tentry
0,Quit R4,43.218560000002384,49,4,quit
0,SHARP Entry R4,43.41815039999783,70,4,tentry
0,Enter R4,43.619353600002825,47,4,enter
0,Quit R4,43.75212799999863,49,4,quit
0,SHARP Accept R4,44.08573440000415,71,4,enter
0,R1 100% offer,43.77992960000038,20,1,100_offer
0,SHARP Entry R1,44.06542080000043,61,1,tentry
0,SHARP Accept R1,44.265766400001944,62,1,enter
0,Enter R1,44.4329600000009,11,1,enter
0,SHARP Entry R1,45.2009600000009,61,1,tentry
0,Servo 1 open,45.459404799997806,1,1,servo open
0,SHARP Accept R1,46.23539200000465,62,1,enter
0,R1 reward taken,46.95727360000461,16,1,taken
0,SHARP Accept R1,54.144025600001214,62,1,enter
0,Quit R1,54.37777920000255,13,1,quit
0,Reject R1,54.511475200004874,12,1,reject
0,R2 100% offer,54.54720000000298,32,2,100_offer
0,SHARP Entry R2,54.90433280000091,64,2,tentry
0,SHARP Accept R2,55.172096000000835,65,2,enter
0,Enter R2,55.70577920000255,23,2,enter
0,Servo 2 open,56.715289599999785,3,2,servo open
0,SHARP Accept R2,57.940684799999,65,2,enter
0,R2 reward taken,58.29112319999933,28,2,taken
0,SHARP Accept R2,58.308659199997784,65,2,enter
0,SHARP Accept R2,59.376345600001514,65,2,enter
0,SHARP Accept R4,60.071641599997875,71,4,enter
0,SHARP Accept R2,60.07703040000051,65,2,enter
0,Quit R2,62.78228480000049,25,2,quit
0,Reject R2,63.01767679999769,24,2,reject
0,R3 80% offer,63.05616640000045,43,3,80_offer
0,SHARP Entry R3,63.31399679999799,67,3,tentry
0,SHARP Accept R3,63.54746880000085,68,3,enter
0,Enter R3,63.88112640000135,35,3,enter
0,Servo 3 open,66.90750720000267,5,3,servo open
0,R3 reward taken,68.24926720000059,40,3,taken
0,SHARP Accept R3,72.72359679999947,68,3,enter
0,Quit R3,74.05934080000222,37,3,quit
0,Reject R3,76.13061120000482,36,3,reject
0,R4 100% offer,76.23073279999942,56,4,100_offer
0,SHARP Accept R4,76.25533439999819,71,4,enter
0,SHARP Entry R4,76.65672960000485,70,4,tentry
0,Enter R4,78.05835520000011,47,4,enter
0,Servo 4 open,79.08239360000194,7,4,servo open
0,R4 reward taken,80.66542080000043,52,4,taken
0,Quit R4,86.33582079999894,49,4,quit
0,Reject R4,86.48089599999786,48,4,reject
0,SHARP Accept R4,93.40788480000198,71,4,enter
0,R1 20% offer,86.48494080000371,18,1,20_offer
0,SHARP Entry R1,86.78073600000143,61,1,tentry
0,SHARP Accept R1,86.98137600000203,62,1,enter
0,Enter R1,87.1152256000042,11,1,enter
0,SHARP Accept R1,87.94940160000324,62,1,enter
0,R1 no-reward tone,92.12986879999936,15,1,noreward
0,SHARP Entry R1,92.82168320000171,61,1,tentry
0,SHARP Accept R1,93.054630400002,62,1,enter
0,Quit R1,93.2889600000009,13,1,quit
0,Reject R1,93.59084800000488,12,1,reject
0,SHARP Entry R1,93.68901120000332,61,1,tentry
0,R2 0% offer,93.65085440000146,29,2,0_offer
0,SHARP Entry R2,94.14871040000021,64,2,tentry
0,SHARP Accept R2,94.24966400000453,65,2,enter
0,Enter R2,94.48409600000083,23,2,enter
0,SHARP Accept R2,95.08334080000222,65,2,enter
0,Quit R2,98.72128000000119,25,2,quit
0,Reject R2,99.02352639999985,24,2,reject
0,SHARP Accept R4,94.00890879999847,71,4,enter
0,R4 0% offer,112.8316032000035,53,4,0_offer
0,SHARP Accept R4,112.89703680000454,71,4,enter
0,R3 0% offer,99.0585856000036,41,3,0_offer
0,SHARP Entry R3,99.35508480000496,67,3,tentry
0,SHARP Accept R3,99.68956159999966,68,3,enter
0,Enter R3,99.9903104000017,35,3,enter
0,SHARP Entry R3,106.99712000000477,67,3,tentry
0,R3 no-reward tone,107.00870400000363,39,3,noreward
0,SHARP Entry R3,107.0630143999979,67,3,tentry
0,Quit R3,112.23559679999947,37,3,quit
0,Reject R3,112.70330880000442,36,3,reject
0,SHARP Accept R3,112.90347520000488,68,3,enter
0,SHARP Accept R4,113.16410880000144,71,4,enter
0,SHARP Entry R4,113.7979008000046,70,4,tentry
0,Enter R4,114.23257600000501,47,4,enter
0,Quit R4,116.90271999999881,49,4,quit
0,Reject R4,116.98269440000504,48,4,reject
0,R1 20% offer,116.98311680000275,18,1,20_offer
0,SHARP Entry R1,117.24940799999982,61,1,tentry
0,SHARP Accept R1,117.34887680000067,62,1,enter
0,Enter R1,117.48302080000192,11,1,enter
0,SHARP Accept R1,117.74942720000446,62,1,enter
0,SHARP Entry R1,118.44997120000421,61,1,tentry
0,R1 no-reward tone,122.49337600000203,15,1,noreward
0,SHARP Accept R1,122.58894080000371,62,1,enter
0,SHARP Entry R1,122.65488639999926,61,1,tentry
0,Quit R1,122.78973440000415,13,1,quit
0,Reject R1,122.9559680000022,12,1,reject
0,R2 0% offer,123.01570560000091,29,2,0_offer
0,SHARP Entry R2,123.54895360000431,64,2,tentry
0,SHARP Accept R2,123.6505856000036,65,2,enter
0,SHARP Entry R2,123.84997120000422,64,2,tentry
0,Enter R2,123.8842752000019,23,2,enter
0,SHARP Entry R2,123.91608320000023,64,2,tentry
0,SHARP Accept R2,124.51672320000083,65,2,enter
0,R2 no-reward tone,130.8877056000009,27,2,noreward
0,SHARP Accept R2,137.96542720000446,65,2,enter
0,Quit R2,142.13722879999875,25,2,quit
0,Reject R2,142.27116799999774,24,2,reject
0,SHARP Accept R4,132.11891200000048,71,4,enter
0,R4 80% offer,147.805376000002,55,4,80_offer
0,R3 0% offer,142.30426879999786,41,3,0_offer
0,SHARP Entry R3,142.53706239999832,67,3,tentry
0,SHARP Accept R3,142.70417920000105,68,3,enter
0,Enter R3,143.0049280000031,35,3,enter
0,Quit R3,147.40965120000394,37,3,quit
0,Reject R3,147.7446528000012,36,3,reject
0,SHARP Entry R4,148.93780480000376,70,4,tentry
0,Enter R4,150.67284480000288,47,4,enter
0,Servo 4 open,153.67448319999875,7,4,servo open
0,R4 reward taken,155.41167360000313,52,4,taken
0,Quit R4,162.48656639999896,49,4,quit
0,Reject R4,162.67078400000185,48,4,reject
0,SHARP Accept R4,173.79910400000216,71,4,enter
0,R1 80% offer,162.6713343999982,19,1,80_offer
0,SHARP Entry R1,162.93457919999958,61,1,tentry
0,SHARP Accept R1,163.20181760000438,62,1,enter
0,Enter R1,163.33565439999848,11,1,enter
0,SHARP Accept R1,163.90172160000355,62,1,enter
0,SHARP Entry R1,164.76988159999996,61,1,tentry
0,Servo 1 open,166.34503680000455,1,1,servo open
0,SHARP Accept R1,166.70579200000316,62,1,enter
0,R1 reward taken,167.602572800003,16,1,taken
0,SHARP Accept R1,170.27645440000296,62,1,enter
0,SHARP Accept R1,174.14643200000376,62,1,enter
0,Quit R1,175.98242559999971,13,1,quit
0,Reject R1,176.0496895999983,12,1,reject
0,R2 100% offer,176.0756480000019,32,2,100_offer
0,SHARP Entry R2,176.44549120000005,64,2,tentry
0,SHARP Accept R2,176.5436671999991,65,2,enter
0,Enter R2,176.74379519999772,23,2,enter
0,SHARP Accept R4,176.50342400000244,71,4,enter
0,Enter R4,195.85800959999858,47,4,enter
0,Quit R4,203.0003200000003,49,4,quit
0,Servo 2 open,177.74539519999922,3,2,servo open
0,R2 reward taken,179.08450559999793,28,2,taken
0,SHARP Accept R2,184.88509440000354,65,2,enter
0,SHARP Entry R2,186.98876160000265,64,2,tentry
0,Quit R2,187.08878079999982,25,2,quit
0,Reject R2,189.09730560000241,24,2,reject
0,SHARP Entry R1,189.53190399999917,61,1,tentry
0,SHARP Accept R1,190.46565120000392,62,1,enter
0,SHARP Entry R1,190.9662848000005,61,1,tentry
0,SHARP Entry R1,203.44659200000018,61,1,tentry
0,SHARP Accept R1,203.7476608000025,62,1,enter
0,Enter R1,203.91461120000483,11,1,enter
0,SHARP Entry R1,204.11438080000133,61,1,tentry
0,SHARP Accept R1,204.24771840000153,62,1,enter
0,Quit R1,208.15343360000105,13,1,quit
0,Reject R2,208.2796671999991,24,2,reject
0,SHARP Entry R2,208.61410559999942,64,2,tentry
0,SHARP Accept R2,208.7124223999977,65,2,enter
0,SHARP Entry R2,209.24715520000458,64,2,tentry
0,Enter R2,209.4806400000006,23,2,enter
0,SHARP Entry R2,209.5465600000024,64,2,tentry
0,SHARP Accept R2,210.0146432000026,65,2,enter
0,Quit R2,212.1505920000002,25,2,quit
0,SHARP Accept R2,212.31728639999778,65,2,enter
0,SHARP Accept R4,211.97739519999922,71,4,enter
0,R4 100% offer,220.3530623999983,56,4,100_offer
0,SHARP Accept R4,221.3859584000036,71,4,enter
0,SHARP Entry R4,223.98942720000446,70,4,tentry
0,Enter R4,224.89073920000345,47,4,enter
0,Servo 4 open,225.89244160000234,7,4,servo open
0,R4 reward taken,227.92954879999905,52,4,taken
0,Quit R4,234.3674752000049,49,4,quit
0,Reject R4,235.0503552000001,48,4,reject
0,SHARP Accept R4,238.27173120000214,71,4,enter
0,R3 0% offer,212.38466560000182,41,3,0_offer
0,SHARP Entry R3,212.61731840000303,67,3,tentry
0,SHARP Accept R3,212.78493439999968,68,3,enter
0,Enter R3,213.0503423999995,35,3,enter
0,SHARP Accept R3,214.55272960000485,68,3,enter
0,Quit R3,219.69199360000343,37,3,quit
0,Reject R3,220.19258879999816,36,3,reject
0,R1 80% offer,235.05080319999902,19,1,80_offer
0,SHARP Entry R1,235.31714559999853,61,1,tentry
0,SHARP Accept R1,235.58351359999924,62,1,enter
0,Enter R1,235.74982400000096,11,1,enter
0,SHARP Entry R1,235.98350079999864,61,1,tentry
0,Servo 1 open,238.760115199998,1,1,servo open
0,R1 reward taken,239.9033343999982,16,1,taken
0,SHARP Entry R1,240.38855680000037,61,1,tentry
