trial_index,tone_onset,tone_prob,restaurant,T_Entry,choice,accept,outcome,reward,quit,collection,trial_end,exit,lapIndex,blockIndex,comment
0,,,4,,,0,,0,,,,5.335347199998796,0,0,
1,5.709068799994886,100,1,6.13692159999907,6.370086399994791,1,,0,16.614566399998964,,16.614566399998964,47.782412799999115,0,1,animal accepted but quit before outcome revealed
2,17.0513919999972,100,2,17.542847999997438,17.709439999997617,1,19.07933439999819,1,,24.764198399998246,24.764198399998246,31.866918399997054,0,1,"accepted, waited, rewarded, and collected"
3,,,4,,,0,,0,,,,47.57923839999735,0,2,
4,,,1,,,0,,0,,,,56.993369599998,0,2,
5,,,4,,,0,,0,,,,60.261132799997924,0,2,
6,,,1,,,0,,0,,,,64.87182079999894,0,2,
7,,,4,,,0,,0,,,,68.60728319999576,0,2,
8,,,1,,,0,,0,,,,115.59530240000039,0,2,
9,,,4,,,0,,0,,,,135.54562559999525,0,2,
10,,,3,,,0,,0,,,,144.3510143999979,0,2,
11,,,2,,,0,,0,,,,146.6240256000012,0,2,
12,,,4,,,0,,0,,,,146.05789440000058,0,2,
13,,,2,,,0,,0,,,,173.15519999999552,0,2,
14,,,1,,,0,,0,,,,189.6801919999942,0,2,
15,,,4,,,0,,0,,,,201.92119039999693,0,2,
16,,,3,,,0,,0,,,,208.4919296000004,0,2,
17,,,2,,,0,,0,,,,227.78053119999916,0,2,
18,,,4,,,0,,0,,,,210.0653823999986,0,2,
19,228.1052800000012,0,3,229.11761919999867,229.2523647999987,1,,0,238.29240320000054,,238.29240320000054,238.29240320000054,0,3,animal accepted but quit before outcome revealed
20,,,4,,,0,,0,,,,229.55558399999887,0,4,
21,,,2,,,0,,0,,,,262.754688000001,0,4,
22,,,4,,,0,,0,,,,263.089996799998,0,4,
23,,,1,,,0,,0,,,,270.54079999999703,0,4,
24,,,4,,,0,,0,,,,270.67001599999514,0,4,
25,,,1,,,0,,0,,,,292.6280319999978,0,4,
26,,,4,,,0,,0,,,,326.2952320000008,0,4,
27,,,3,,,0,,0,,,,338.9466367999986,0,4,
28,,,4,,,0,,0,,,,329.3672448000014,0,4,
29,,,3,,,0,,0,,,,340.208115199998,0,4,
30,,,2,,,0,,0,,,,362.27148799999804,0,4,
31,,,4,,,0,,0,,,,363.57102079999447,0,4,
32,,,1,,,0,,0,,,,369.51544319999965,0,4,
33,388.6832127999961,100,4,,,0,,0,,,,388.6832127999961,0,0,
34,,,3,,,0,,0,,,,388.6836991999969,0,4,
